,index,region_name,region_code,old_la_code,la_name,new_la_code,primary_need,number_of_pupils,year_group,yrgrp,startyr,201516,201617,201718,201819,201920,202021,202122,YOY16to17,YOY16to17perc,YOY_to_201617,YOYperc_to_201617,YOY_to_201718,YOYperc_to_201718,YOY_to_201819,YOYperc_to_201819,YOY_to_201920,YOYperc_to_201920,YOY_to_202021,YOYperc_to_202021,YOY_to_202122,YOYperc_to_202122
7919,7920.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1315.0,nc_year_6,6.0,2009.0,83.0,,,,,,,,,,,,,,,,,,,,
6711,6712.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1462.0,nc_year_6,6.0,2010.0,114.0,97.0,,,,,,-17.0,-0.14912280701754385,-17.0,-0.14912280701754385,,,,,,,,,,
5503,5504.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1533.0,nc_year_6,6.0,2011.0,118.0,112.0,95.0,,,,,-6.0,-0.05084745762711865,-6.0,-0.05084745762711865,-17.0,-0.15178571428571427,,,,,,,,
4295,4296.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1612.0,nc_year_6,6.0,2012.0,161.0,144.0,125.0,113.0,,,,-17.0,-0.10559006211180125,-17.0,-0.10559006211180125,-19.0,-0.13194444444444445,-12.0,-0.096,,,,,,
3095,3096.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1689.0,nc_year_6,6.0,2013.0,221.0,202.0,180.0,145.0,142.0,,,-19.0,-0.08597285067873303,-19.0,-0.08597285067873303,-22.0,-0.10891089108910891,-35.0,-0.19444444444444445,-3.0,-0.020689655172413793,,,,
1895,1896.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1812.0,nc_year_6,6.0,2014.0,241.0,234.0,207.0,170.0,155.0,145.0,,-7.0,-0.029045643153526972,-7.0,-0.029045643153526972,-27.0,-0.11538461538461539,-37.0,-0.178743961352657,-15.0,-0.08823529411764706,-10.0,-0.06451612903225806,,
695,696.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_year_6,6.0,2015.0,256.0,299.0,264.0,206.0,194.0,183.0,160.0,43.0,0.16796875,43.0,0.16796875,-35.0,-0.11705685618729098,-58.0,-0.2196969696969697,-12.0,-0.05825242718446602,-11.0,-0.05670103092783505,-23.0,-0.12568306010928962
694,695.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_year_5,5.0,2016.0,121.0,268.0,285.0,273.0,256.0,229.0,209.0,147.0,1.2148760330578512,147.0,1.2148760330578512,17.0,0.06343283582089553,-12.0,-0.042105263157894736,-17.0,-0.06227106227106227,-27.0,-0.10546875,-20.0,-0.08733624454148471
693,694.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_year_4,4.0,2017.0,,106.0,265.0,287.0,268.0,259.0,222.0,,,,,159.0,1.5,22.0,0.0830188679245283,-19.0,-0.06620209059233449,-9.0,-0.033582089552238806,-37.0,-0.14285714285714285
692,693.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_year_3,3.0,2018.0,,,112.0,271.0,282.0,281.0,250.0,,,,,,,159.0,1.4196428571428572,11.0,0.04059040590405904,-1.0,-0.0035460992907801418,-31.0,-0.1103202846975089
691,692.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_year_2,2.0,2019.0,,,,147.0,276.0,316.0,333.0,,,,,,,,,129.0,0.8775510204081632,40.0,0.14492753623188406,17.0,0.05379746835443038
690,691.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_year_1,1.0,2020.0,,,,,116.0,281.0,319.0,,,,,,,,,,,165.0,1.4224137931034482,38.0,0.13523131672597866
689,690.0,London,E12000007,301.0,Barking and Dagenham,E09000002,"Speech, Language and Communications needs",1897.0,nc_reception,0.0,2021.0,,,,,,118.0,277.0,,,,,,,,,,,,,159.0,1.347457627118644
