"","region_name","region_code","old_la_code","la_name","new_la_code","language","201516","201617","201718","201819","201920","202021","202122","YOY16to17","YOYperc16to17","YOY17to18","YOYperc17to18","YOY18to19","YOYperc18to19","YOY19to20","YOYperc19to20","YOY20to21","YOYperc20to21","YOY21to22","YOYperc21to22"
"1","East Midlands","E12000004",830,"Derbyshire","E10000007","Known or believed to be other than English",2.595839435,2.859904144,3.024419504,3.064666846,3.060443764,2.967559399,3.138948186,0.264064709,0.101726133534912,0.16451536,0.0575247811522454,0.0402473420000002,0.0133074601412834,-0.00422308200000021,-0.00137799056543852,-0.0928843649999997,-0.0303499662671795,0.171388787,0.0577541218072177
"2","East Midlands","E12000004",831,"Derby","E06000015","Known or believed to be other than English",24.58742427,27.5730234,28.82599163,29.4377638,29.76471058,30.05175013,30.45460095,2.98559913,0.121427893268301,1.25296823,0.0454418150604406,0.611772169999998,0.021222935809199,0.32694678,0.0111063728284959,0.287039549999999,0.0096436197230445,0.402850820000001,0.0134052365754846
"3","East Midlands","E12000004",855,"Leicestershire","E10000018","Known or believed to be other than English",8.013562118,8.331668332,8.407349275,8.474607402,8.512153697,8.551216132,8.695731253,0.318106214,0.0396959815517587,0.0756809430000001,0.00908352805035783,0.0672581270000006,0.00799992064086104,0.0375462950000003,0.00443044653503824,0.039062435,0.00458901899454271,0.144515121,0.016899949524045
"4","East Midlands","E12000004",856,"Leicester","E06000016","Known or believed to be other than English",51.78802897,52.72780459,53.564683,54.43469513,55.6524421,55.88143081,56.27844406,0.939775619999999,0.0181465801786818,0.836878410000004,0.0158716718154186,0.870012129999999,0.0162422716101951,1.21774697,0.0223707869970025,0.228988709999996,0.00411462105451786,0.397013250000001,0.00710456486609779
"5","East Midlands","E12000004",857,"Rutland","E06000017","Known or believed to be other than English",3.066721923,3.2405484,3.84219554,4.192872117,4.244954767,4.135997196,4.514752933,0.173826477,0.0566815255391515,0.60164714,0.185662136692666,0.350676577,0.0912698412533164,0.05208265,0.0124217120261863,-0.108957571,-0.0256675458233452,0.378755737,0.0915754336986257
"6","East Midlands","E12000004",891,"Nottinghamshire","E10000024","Known or believed to be other than English",6.581495828,7.26970234,7.833715148,8.189106995,8.378071729,8.702025772,9.565954372,0.688206512,0.104566884183399,0.564012807999999,0.0775840304900296,0.355391847,0.0453669606675364,0.188964734000001,0.0230751331146823,0.323954043000001,0.0386668977634389,0.863928599999999,0.0992790210734392
"7","East Midlands","E12000004",892,"Nottingham","E06000018","Known or believed to be other than English",30.41244679,31.64126999,31.89682181,32.42879801,32.4450597,31.61201511,32.94751198,1.2288232,0.040405272501917,0.255551819999997,0.00807653485719008,0.531976200000003,0.0166780315345782,0.0162616900000003,0.000501458302431861,-0.83304459,-0.0256755449890573,1.33549687,0.0422464960032723
"8","East Midlands","E12000004",925,"Lincolnshire","E10000019","Known or believed to be other than English",10.22364217,10.75850081,11.3733607,11.43324801,11.37313172,11.22170832,11.38035406,0.534858639999999,0.0523158607379154,0.61485989,0.0571510753086052,0.0598873100000006,0.00526557730645091,-0.0601162899999999,-0.00525802378706555,-0.151423400000001,-0.0133141340246432,0.158645740000001,0.0141373965064885
"9","East Midlands","E12000004",928,"Northamptonshire","E10000021","Known or believed to be other than English",15.00056799,16.24315263,17.37718169,18.07883395,18.77365291,19.02803284,NA,1.24258464,0.0828358393381076,1.13402906,0.0698158224472708,0.701652259999999,0.0403777938515644,0.694818959999999,0.0384327308897043,0.254379930000002,0.0135498366364547,NA,NA
"10","East Midlands","E12000004",940,"North Northamptonshire","E06000061","Known or believed to be other than English",NA,NA,NA,NA,NA,NA,17.35726686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","East Midlands","E12000004",941,"West Northamptonshire","E06000062","Known or believed to be other than English",NA,NA,NA,NA,NA,NA,21.40545145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","East of England","E12000006",821,"Luton","E06000032","Known or believed to be other than English",53.59136388,55.36531441,55.44545961,55.0014981,54.80072464,53.96611642,52.84154415,1.77395053,0.0331014253336073,0.0801451999999969,0.00144757057471927,-0.443961510000001,-0.00800717521547841,-0.200773460000001,-0.00365032711718084,-0.83460822,-0.0152298756172068,-1.12457227,-0.0208384880106591
"13","East of England","E12000006",822,"Bedford","E06000055","Known or believed to be other than English",32.29270233,33.63758647,30.81886817,29.90626127,29.05242905,28.12010129,27.51544969,1.34488414,0.0416466892815782,-2.8187183,-0.0837966868554587,-0.912606899999997,-0.029611953786426,-0.853832220000001,-0.0285502829087001,-0.93232776,-0.0320912154503652,-0.6046516,-0.0215024687772026
"14","East of England","E12000006",823,"Central Bedfordshire","E06000056","Known or believed to be other than English",6.839114247,7.994963802,8.217479855,8.136288282,8.519330839,8.659595827,8.917306785,1.155849555,0.169005738646202,0.222516053000001,0.0278320275752013,-0.0811915729999999,-0.00988034950284644,0.383042557,0.0470782921799131,0.140264988,0.0164643198686324,0.257710957999999,0.0297601600754246
"15","East of England","E12000006",873,"Cambridgeshire","E10000003","Known or believed to be other than English",13.59491038,14.61487509,15.32729765,15.3890501,15.90500249,15.85152081,16.21476407,1.01996471,0.075025482440878,0.71242256,0.0487464008835398,0.0617524500000002,0.00402891960540743,0.515952389999999,0.033527240904882,-0.0534816799999991,-0.00336256973449861,0.363243260000001,0.0229153571038337
"16","East of England","E12000006",874,"Peterborough","E06000031","Known or believed to be other than English",39.66877447,40.56570625,40.65685709,40.29638074,40.15262834,39.8109042,39.25478253,0.896931779999996,0.0226105240704704,0.0911508400000045,0.00224699255667475,-0.360476350000006,-0.00886631126459279,-0.143752399999997,-0.00356737745078187,-0.341724139999997,-0.00851062941898554,-0.556121670000003,-0.0139690791047143
"17","East of England","E12000006",881,"Essex","E10000012","Known or believed to be other than English",7.239692087,7.542260035,8.1003632,8.336639228,8.717421689,8.912774895,9.350977513,0.302567948,0.0417929304677623,0.558103165,0.0739968076425517,0.236276027999999,0.0291685720956313,0.380782461000001,0.0456757754037237,0.195353206,0.0224095165943968,0.438202618,0.049165677711195
"18","East of England","E12000006",882,"Southend-on-Sea","E06000033","Known or believed to be other than English",13.07941653,13.78686591,14.49861076,14.54419803,14.16724257,14.11361907,14.59751829,0.70744938,0.0540887568170443,0.711744850000001,0.0516248474922609,0.0455872700000004,0.0031442509047674,-0.37695546,-0.0259179268064462,-0.0536235000000005,-0.0037850343660771,0.48389922,0.0342859770835518
"19","East of England","E12000006",883,"Thurrock","E06000034","Known or believed to be other than English",17.37446093,18.68708351,20.11311223,20.79472365,22.11351351,22.91464336,23.82586318,1.31262258,0.0755489672622608,1.42602872,0.0763109299124654,0.681611420000003,0.0338889084993687,1.31878986,0.0634194463074771,0.801129849999999,0.0362280670431552,0.911219819999999,0.0397658303332197
"20","East of England","E12000006",919,"Hertfordshire","E10000015","Known or believed to be other than English",16.06795106,16.59515306,17.0603993,17.40871326,17.8501886,17.88235742,18.30306633,0.527202000000003,0.0328107795468978,0.465246239999999,0.028035067728384,0.348313959999999,0.0204165186215776,0.44147534,0.0253594469279001,0.0321688200000025,0.00180215574865145,0.420708909999998,0.0235264792062298
"21","East of England","E12000006",926,"Norfolk","E10000020","Known or believed to be other than English",10.03742899,10.5758304,11.40942602,11.78370013,12.03139924,12.11634814,12.81982023,0.538401409999999,0.0536393742397971,0.833595620000001,0.0788208195925684,0.37427411,0.0328039385455431,0.247699110000001,0.0210204865422013,0.0849488999999988,0.00706060020995519,0.70347209,0.0580597455497016
"22","East of England","E12000006",935,"Suffolk","E10000029","Known or believed to be other than English",8.897998553,9.412166635,9.667512121,9.880693769,10.29032426,10.21329679,10.36801008,0.514168081999999,0.0577846893250668,0.255345486,0.0271292993316198,0.213181648000001,0.0220513453028854,0.409630491,0.0414576648742204,-0.0770274700000009,-0.00748542689751944,0.15471329,0.0151482222813188
"23","London","E12000007",201,"City of London","E09000001","Known or believed to be other than English",56.25,59.3220339,52.11267606,49.47368421,59.7826087,58.88888889,59.566787,3.0720339,0.054613936,-7.20935784,-0.121529175013671,-2.63899185,-0.0506401138748198,10.30892449,0.208371877991578,-0.89371981,-0.0149494950025491,0.677898110000001,0.0115114773394055
"24","London","E12000007",202,"Camden","E09000007","Known or believed to be other than English",61.23931624,61.41367323,59.78060626,57.14529332,55.87390055,55.05930985,54.89115708,0.17435699,0.00284714135795844,-1.63306697,-0.0265912602863537,-2.63531294,-0.0440830748443467,-1.27139277,-0.022248424955674,-0.814590700000004,-0.0145790913464337,-0.168152769999999,-0.00305402974461728
"25","London","E12000007",203,"Greenwich","E09000011","Known or believed to be other than English",42.90819408,40.88103534,39.88675566,39.00026329,38.14089204,37.10282906,35.9535577,-2.02715874,-0.0472440936624011,-0.994279679999998,-0.0243212940115327,-0.886492369999999,-0.022225231291223,-0.859371250000002,-0.0220350114974827,-1.03806298,-0.0272165364908439,-1.14927136,-0.0309753026687394
"26","London","E12000007",204,"Hackney","E09000012","Known or believed to be other than English",54.01187769,51.78515404,49.02351341,47.88760071,46.38944223,44.85899547,45.20056929,-2.22672365,-0.0412265550696132,-2.76164063,-0.053328809794924,-1.1359127,-0.0231707729819359,-1.49815848,-0.0312848933291233,-1.53044676,-0.0329912731524558,0.341573819999994,0.0076143885172022
