"","la_name","index","201516_language","201617_language","201718_language","201819_language","201920_language","202021_language","202122_language","YOY21to22_language","YOYperc21to22_language","YOY16to17_language","YOYperc16to17_language","YOY17to18_language","YOYperc17to18_language","YOY18to19_language","YOYperc18to19_language","YOY19to20_language","YOYperc19to20_language","YOY20to21_language","YOYperc20to21_language","region_name","region_code","old_la_code","new_la_code","ncyear","201516_pupils","201617_pupils","201718_pupils","201819_pupils","201920_pupils","202021_pupils","202122_pupils","YOY21to22_pupils","YOYperc21to22_pupils","YOY16to17_pupils","YOYperc16to17_pupils","YOY17to18_pupils","YOYperc17to18_pupils","YOY18to19_pupils","YOYperc18to19_pupils","YOY19to20_pupils","YOYperc19to20_pupils","YOY20to21_pupils","YOYperc20to21_pupils"
"1","Barking and Dagenham",1,241,299,285,287,282,316,319,3,0.009493670886,58,0.2406639004,-14,-0.04682274247,2,0.00701754386,-5,-0.01742160279,34,0.1205673759,"London","E12000007",301,"E09000002","Year 1",3585,3529,3568,3381,3200,3231,3378,147,0.0454967502321263,-56,-0.0156206415620642,39,0.011051289317087,-187,-0.0524103139013453,-181,-0.0535344572611653,31,0.0096875
"2","Barnet",2,254,239,241,250,234,209,244,35,0.1674641148,-15,-0.05905511811,2,0.008368200837,9,0.03734439834,-16,-0.064,-25,-0.1068376068,"London","E12000007",302,"E09000003","Year 1",4302,4282,4317,4147,4008,3960,4052,92,0.0232323232323232,-20,-0.00464900046490005,35,0.00817375058383933,-170,-0.039379198517489,-139,-0.033518205931999,-48,-0.0119760479041916
"3","Barnsley",3,114,147,141,125,129,107,143,36,0.3364485981,33,0.2894736842,-6,-0.04081632653,-16,-0.1134751773,4,0.032,-22,-0.1705426357,"Yorkshire and The Humber","E12000003",370,"E08000016","Year 1",2804,2942,2941,2818,2714,2798,2721,-77,-0.0275196568977841,138,0.0492154065620542,-1,-0.000339904826648538,-123,-0.041822509350561,-104,-0.0369056068133428,84,0.0309506263817244
"4","Bath and North East Somerset",4,82,101,95,118,96,115,157,42,0.3652173913,19,0.2317073171,-6,-0.05940594059,23,0.2421052632,-22,-0.186440678,19,0.1979166667,"South West","E12000009",800,"E06000022","Year 1",1872,1914,1883,1879,1806,1843,1854,11,0.00596852957135106,42,0.0224358974358974,-31,-0.01619644723093,-4,-0.00212426978226235,-73,-0.038850452368281,37,0.0204872646733112
"5","Bedford",5,93,84,115,110,107,130,112,-18,-0.1384615385,-9,-0.09677419355,31,0.369047619,-5,-0.04347826087,-3,-0.02727272727,23,0.214953271,"East of England","E12000006",822,"E06000055","Year 1",2274,2252,2274,2238,2286,2161,2294,133,0.0615455807496529,-22,-0.00967458223394899,22,0.00976909413854352,-36,-0.0158311345646438,48,0.0214477211796247,-125,-0.0546806649168854
"6","Bexley",6,209,215,213,247,245,200,219,19,0.095,6,0.02870813397,-2,-0.009302325581,34,0.1596244131,-2,-0.008097165992,-45,-0.1836734694,"London","E12000007",303,"E09000004","Year 1",3119,3174,3139,2977,3045,3038,3039,1,0.00032916392363397,55,0.0176338570054505,-35,-0.0110270951480781,-162,-0.0516087926091112,68,0.0228417870339268,-7,-0.00229885057471264
"7","Birmingham",7,765,836,868,900,899,936,1114,178,0.1901709402,71,0.09281045752,32,0.03827751196,32,0.03686635945,-1,-0.001111111111,37,0.04115684093,"West Midlands","E12000005",330,"E08000025","Year 1",15384,15970,15800,15524,15084,14625,14999,374,0.0255726495726496,586,0.0380915236609464,-170,-0.010644959298685,-276,-0.0174683544303797,-440,-0.0283432105127544,-459,-0.0304295942720764
"8","Blackburn with Darwen",8,181,200,199,216,224,226,281,55,0.2433628319,19,0.1049723757,-1,-0.005,17,0.08542713568,8,0.03703703704,2,0.008928571429,"North West","E12000002",889,"E06000008","Year 1",2063,2161,2161,2103,2006,2064,2023,-41,-0.0198643410852713,98,0.0475036354823073,0,0,-58,-0.026839426191578,-97,-0.0461245839277223,58,0.028913260219342
"9","Blackpool",9,146,139,170,180,203,178,182,4,0.02247191011,-7,-0.04794520548,31,0.2230215827,10,0.05882352941,23,0.1277777778,-25,-0.1231527094,"North West","E12000002",890,"E06000009","Year 1",1618,1592,1638,1608,1611,1547,1492,-55,-0.0355526826115061,-26,-0.0160692212608158,46,0.028894472361809,-30,-0.0183150183150183,3,0.00186567164179104,-64,-0.0397268777157045
"10","Bolton",10,142,178,218,214,260,260,290,30,0.1153846154,36,0.2535211268,40,0.2247191011,-4,-0.01834862385,46,0.214953271,0,0,"North West","E12000002",350,"E08000001","Year 1",3856,3906,4061,3860,3969,3880,3950,70,0.0180412371134021,50,0.0129668049792531,155,0.0396825396825397,-201,-0.0494951982270377,109,0.0282383419689119,-89,-0.0224237843285462
