"","la_name","index","201516_language","201617_language","201718_language","201819_language","201920_language","202021_language","202122_language","YOY21to22_language","YOYperc21to22_language","YOY16to17_language","YOYperc16to17_language","YOY17to18_language","YOYperc17to18_language","YOY18to19_language","YOYperc18to19_language","YOY19to20_language","YOYperc19to20_language","YOY20to21_language","YOYperc20to21_language","region_name","region_code","old_la_code","new_la_code","language","201516_esl","201617_esl","201718_esl","201819_esl","201920_esl","202021_esl","202122_esl","YOY16to17_esl","YOYperc16to17_esl","YOY17to18_esl","YOYperc17to18_esl","YOY18to19_esl","YOYperc18to19_esl","YOY19to20_esl","YOYperc19to20_esl","YOY20to21_esl","YOYperc20to21_esl","YOY21to22_esl","YOYperc21to22_esl"
"1","Barking and Dagenham",1,241,299,285,287,282,316,319,3,0.009493670886,58,0.2406639004,-14,-0.04682274247,2,0.00701754386,-5,-0.01742160279,34,0.1205673759,"London","E12000007",301,"E09000002","Known or believed to be other than English",54.36851002,56.4101343,56.46624118,55.61156299,54.39312651,52.77811112,51.13848906,2.04162428,0.0375515952018727,0.0561068799999944,0.000994624116681006,-0.854678189999994,-0.0151360914440098,-1.21843648,-0.0219097686612243,-1.61501539,-0.0296915344570805,-1.63962206,-0.0310663270284918
"2","Barnet",2,254,239,241,250,234,209,244,35,0.1674641148,-15,-0.05905511811,2,0.008368200837,9,0.03734439834,-16,-0.064,-25,-0.1068376068,"London","E12000007",302,"E09000003","Known or believed to be other than English",48.71720957,51.02404997,51.61076996,50.99601594,53.57960326,52.79634075,53.40378631,2.3068404,0.0473516529448466,0.586719989999999,0.0114988910199203,-0.614754019999999,-0.0119113514577762,2.58358732,0.0506625325994045,-0.78326251,-0.0146186694626899,0.607445560000002,0.0115054481308916
"3","Barnsley",3,114,147,141,125,129,107,143,36,0.3364485981,33,0.2894736842,-6,-0.04081632653,-16,-0.1134751773,4,0.032,-22,-0.1705426357,"Yorkshire and The Humber","E12000003",370,"E08000016","Known or believed to be other than English",5.296477372,5.839060884,6.093090167,6.467868701,6.60359859,6.592839379,6.835205993,0.542583512,0.102442335516883,0.254029282999999,0.0435051608549043,0.374778534000001,0.0615087785882097,0.135729888999999,0.0209852573196197,-0.0107592109999999,-0.00162929512649252,0.242366614,0.0367620990088131
"4","Bath and North East Somerset",4,82,101,95,118,96,115,157,42,0.3652173913,19,0.2317073171,-6,-0.05940594059,23,0.2421052632,-22,-0.186440678,19,0.1979166667,"South West","E12000009",800,"E06000022","Known or believed to be other than English",6.228118666,6.53724605,7.157584683,7.354790973,7.824610615,7.553317536,7.760401298,0.309127384,0.0496341512706816,0.620338632999999,0.0948929607751263,0.19720629,0.0275520722050814,0.469819642,0.0638794010223736,-0.271293079,-0.0346717673694744,0.207083762,0.0274162659007799
"5","Bedford",5,93,84,115,110,107,130,112,-18,-0.1384615385,-9,-0.09677419355,31,0.369047619,-5,-0.04347826087,-3,-0.02727272727,23,0.214953271,"East of England","E12000006",822,"E06000055","Known or believed to be other than English",32.29270233,33.63758647,30.81886817,29.90626127,29.05242905,28.12010129,27.51544969,1.34488414,0.0416466892815782,-2.8187183,-0.0837966868554587,-0.912606899999997,-0.029611953786426,-0.853832220000001,-0.0285502829087001,-0.93232776,-0.0320912154503652,-0.6046516,-0.0215024687772026
"6","Bexley",6,209,215,213,247,245,200,219,19,0.095,6,0.02870813397,-2,-0.009302325581,34,0.1596244131,-2,-0.008097165992,-45,-0.1836734694,"London","E12000007",303,"E09000004","Known or believed to be other than English",18.80944388,19.11997814,19.90058429,20.3188647,21.21576888,22.40244168,23.18859765,0.310534260000001,0.016509486510135,0.780606150000001,0.0408267281627761,0.418280409999998,0.0210184989498114,0.89690418,0.0441414514660359,1.1866728,0.05593352787316,0.786155969999999,0.0350924234612269
"7","Birmingham",7,765,836,868,900,899,936,1114,178,0.1901709402,71,0.09281045752,32,0.03827751196,32,0.03686635945,-1,-0.001111111111,37,0.04115684093,"West Midlands","E12000005",330,"E08000025","Known or believed to be other than English",43.01851098,43.96024301,44.07881756,43.37672912,43.22362899,42.30436296,42.20912924,0.941732029999997,0.0218913209347907,0.118574549999998,0.00269731334226303,-0.702088439999997,-0.0159280234558088,-0.153100129999999,-0.00352954529089672,-0.919266030000003,-0.0212676735267342,-0.095233719999996,-0.00225115598809613
"8","Blackburn with Darwen",8,181,200,199,216,224,226,281,55,0.2433628319,19,0.1049723757,-1,-0.005,17,0.08542713568,8,0.03703703704,2,0.008928571429,"North West","E12000002",889,"E06000008","Known or believed to be other than English",42.35116205,43.17505093,42.7869898,42.15736365,42.83050412,42.80940837,43.20416802,0.823888879999998,0.0194537490854988,-0.388061129999997,-0.00898808737085599,-0.62962615,-0.0147153644821258,0.67314047,0.0159673284028993,-0.0210957500000006,-0.000492540315213097,0.394759649999997,0.00922132925986983
"9","Blackpool",9,146,139,170,180,203,178,182,4,0.02247191011,-7,-0.04794520548,31,0.2230215827,10,0.05882352941,23,0.1277777778,-25,-0.1231527094,"North West","E12000002",890,"E06000009","Known or believed to be other than English",5.987582869,6.856540084,7.695581851,8.203712995,8.214704405,8.313232254,8.761511318,0.868957215,0.145126545053585,0.839041767,0.122371014640159,0.508131144,0.0660289441186271,0.0109914100000008,0.00133980918234217,0.0985278489999999,0.0119940833099277,0.448279063999999,0.0539235582867669
"10","Bolton",10,142,178,218,214,260,260,290,30,0.1153846154,36,0.2535211268,40,0.2247191011,-4,-0.01834862385,46,0.214953271,0,0,"North West","E12000002",350,"E08000001","Known or believed to be other than English",27.93758058,28.91394505,30.02841285,29.98655164,30.83868444,31.11448467,31.70699502,0.97636447,0.0349480681479971,1.1144678,0.0385443009617949,-0.0418612100000004,-0.0013940533656943,0.852132800000003,0.0284171654757167,0.275800229999998,0.00894332021641835,0.592510350000001,0.0190429106020608
