location,location_code,geographic_level,time_period,phase_type_grouping,gender,ncyear,headcount
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Total,42153
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Early 1,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Early 2,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Nursery 1,1006
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Nursery 2,2583
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Reception,5713
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 1,5717
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 2,5362
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 3,5642
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 4,5463
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 5,5368
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 6,5299
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 7,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 8,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 9,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 10,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 11,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 12,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 13,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Year 14,0
County Durham,E06000047,localAuthority,201516,State-funded primary,Total,Not followed,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Total,42590
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Early 1,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Early 2,38
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Nursery 1,1074
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Nursery 2,2556
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Reception,5589
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 1,5744
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 2,5738
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 3,5389
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 4,5648
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 5,5460
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 6,5354
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 7,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 8,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 9,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 10,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 11,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 12,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 13,0
County Durham,E06000047,localAuthority,201617,State-funded primary,Total,Year 14,0
