location,location_code,geographic_level,time_period,ethnicity,language,phase_type_grouping,headcount,percent_of_pupils
County Durham,E06000047,localAuthority,201617,Total,Total,Total,62379,100
County Durham,E06000047,localAuthority,201617,Total,Total,Pupil referral unit,103,100
County Durham,E06000047,localAuthority,201617,Total,Total,State-funded nursery,0,0
County Durham,E06000047,localAuthority,201617,Total,Total,State-funded primary,33355,100
County Durham,E06000047,localAuthority,201617,Total,Total,State-funded secondary,27609,100
County Durham,E06000047,localAuthority,201617,Total,Total,State-funded special school,1312,100
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be English,Total,60948,97.70595874
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be English,Pupil referral unit,103,100
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be English,State-funded nursery,0,0
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be English,State-funded primary,32439,97.25378504
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be English,State-funded secondary,27102,98.16364229
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be English,State-funded special school,1304,99.3902439
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be other than English,Total,1418,2.273200917
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be other than English,Pupil referral unit,0,0
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be other than English,State-funded nursery,0,0
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be other than English,State-funded primary,909,2.725228601
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be other than English,State-funded secondary,501,1.814625666
County Durham,E06000047,localAuthority,201617,Total,Known or believed to be other than English,State-funded special school,8,0.609756098
County Durham,E06000047,localAuthority,201617,Total,Language unclassified,Total,13,0.020840347
County Durham,E06000047,localAuthority,201617,Total,Language unclassified,Pupil referral unit,0,0
County Durham,E06000047,localAuthority,201617,Total,Language unclassified,State-funded nursery,0,0
County Durham,E06000047,localAuthority,201617,Total,Language unclassified,State-funded primary,7,0.020986359
County Durham,E06000047,localAuthority,201617,Total,Language unclassified,State-funded secondary,6,0.021732044
County Durham,E06000047,localAuthority,201617,Total,Language unclassified,State-funded special school,0,0
County Durham,E06000047,localAuthority,201718,Total,Total,Total,72827,100
County Durham,E06000047,localAuthority,201718,Total,Total,Pupil referral unit,147,100
County Durham,E06000047,localAuthority,201718,Total,Total,State-funded nursery,993,100
County Durham,E06000047,localAuthority,201718,Total,Total,State-funded primary,42582,100
County Durham,E06000047,localAuthority,201718,Total,Total,State-funded secondary,27731,100
County Durham,E06000047,localAuthority,201718,Total,Total,State-funded special school,1374,100
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be English,Total,71023,97.52289673
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be English,Pupil referral unit,147,100
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be English,State-funded nursery,974,98.08660624
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be English,State-funded primary,41335,97.07153257
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be English,State-funded secondary,27203,98.09599365
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be English,State-funded special school,1364,99.27219796
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be other than English,Total,1775,2.437282876
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be other than English,Pupil referral unit,0,0
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be other than English,State-funded nursery,13,1.309164149
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be other than English,State-funded primary,1232,2.893241276
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be other than English,State-funded secondary,520,1.875157766
County Durham,E06000047,localAuthority,201718,Total,Known or believed to be other than English,State-funded special school,10,0.727802038
County Durham,E06000047,localAuthority,201718,Total,Language unclassified,Total,29,0.039820396
County Durham,E06000047,localAuthority,201718,Total,Language unclassified,Pupil referral unit,0,0
County Durham,E06000047,localAuthority,201718,Total,Language unclassified,State-funded nursery,6,0.604229607
County Durham,E06000047,localAuthority,201718,Total,Language unclassified,State-funded primary,15,0.035226152
County Durham,E06000047,localAuthority,201718,Total,Language unclassified,State-funded secondary,8,0.028848581
County Durham,E06000047,localAuthority,201718,Total,Language unclassified,State-funded special school,0,0
County Durham,E06000047,localAuthority,201819,Total,Total,Total,73525,100
County Durham,E06000047,localAuthority,201819,Total,Total,Pupil referral unit,135,100
County Durham,E06000047,localAuthority,201819,Total,Total,State-funded nursery,983,100
County Durham,E06000047,localAuthority,201819,Total,Total,State-funded primary,42305,100
County Durham,E06000047,localAuthority,201819,Total,Total,State-funded secondary,28713,100
County Durham,E06000047,localAuthority,201819,Total,Total,State-funded special school,1389,100
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be English,Total,71629,97.42128528
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be English,Pupil referral unit,135,100
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be English,State-funded nursery,959,97.5584944
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be English,State-funded primary,41039,97.00744593
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be English,State-funded secondary,28119,97.93125065
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be English,State-funded special school,1377,99.13606911
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be other than English,Total,1849,2.514790887
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be other than English,Pupil referral unit,0,0
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be other than English,State-funded nursery,20,2.034587996
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be other than English,State-funded primary,1239,2.928731828
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be other than English,State-funded secondary,578,2.013025459
County Durham,E06000047,localAuthority,201819,Total,Known or believed to be other than English,State-funded special school,12,0.863930886
