"","region_name","region_code","old_la_code","la_name","new_la_code","primary_need","number_of_pupils","year_group","yrgrp","startyr","201516","201617","201718","201819","201920","202021","202122"
"1","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_early_years",-1,2022,NA,NA,NA,NA,NA,NA,74
"2","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_reception",0,2021,NA,NA,NA,NA,NA,NA,83
"3","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_year_1",1,2020,NA,NA,NA,NA,NA,NA,71
"4","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_year_2",2,2019,NA,NA,NA,NA,NA,NA,85
"5","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_year_3",3,2018,NA,NA,NA,NA,NA,NA,75
"6","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_year_4",4,2017,NA,NA,NA,NA,NA,NA,66
"7","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_year_5",5,2016,NA,NA,NA,NA,NA,NA,67
"8","North East","E12000001",805,"Hartlepool","E06000001","Speech, Language and Communications needs",566,"nc_year_6",6,2015,NA,NA,NA,NA,NA,NA,45
"9","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_early_years",-1,2022,NA,NA,NA,NA,NA,NA,74
"10","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_reception",0,2021,NA,NA,NA,NA,NA,NA,71
"11","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_year_1",1,2020,NA,NA,NA,NA,NA,NA,98
"12","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_year_2",2,2019,NA,NA,NA,NA,NA,NA,94
"13","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_year_3",3,2018,NA,NA,NA,NA,NA,NA,87
"14","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_year_4",4,2017,NA,NA,NA,NA,NA,NA,47
"15","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_year_5",5,2016,NA,NA,NA,NA,NA,NA,50
"16","North East","E12000001",806,"Middlesbrough","E06000002","Speech, Language and Communications needs",560,"nc_year_6",6,2015,NA,NA,NA,NA,NA,NA,39
"17","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_early_years",-1,2022,NA,NA,NA,NA,NA,NA,55
"18","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_reception",0,2021,NA,NA,NA,NA,NA,NA,84
"19","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_year_1",1,2020,NA,NA,NA,NA,NA,NA,80
"20","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_year_2",2,2019,NA,NA,NA,NA,NA,NA,98
"21","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_year_3",3,2018,NA,NA,NA,NA,NA,NA,73
"22","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_year_4",4,2017,NA,NA,NA,NA,NA,NA,62
"23","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_year_5",5,2016,NA,NA,NA,NA,NA,NA,66
"24","North East","E12000001",807,"Redcar and Cleveland","E06000003","Speech, Language and Communications needs",553,"nc_year_6",6,2015,NA,NA,NA,NA,NA,NA,35
"25","North East","E12000001",808,"Stockton-on-Tees","E06000004","Speech, Language and Communications needs",948,"nc_early_years",-1,2022,NA,NA,NA,NA,NA,NA,70
"26","North East","E12000001",808,"Stockton-on-Tees","E06000004","Speech, Language and Communications needs",948,"nc_reception",0,2021,NA,NA,NA,NA,NA,NA,112
"27","North East","E12000001",808,"Stockton-on-Tees","E06000004","Speech, Language and Communications needs",948,"nc_year_1",1,2020,NA,NA,NA,NA,NA,NA,151
