"","la_name","201516","201617","201718","201819","201920","202021","202122","YOY21to22","YOYperc21to22","YOY16to17","YOYperc16to17","YOY17to18","YOYperc17to18","YOY18to19","YOYperc18to19","YOY19to20","YOYperc19to20","YOY20to21","YOYperc20to21"
"1","Barking and Dagenham",241,299,285,287,282,316,319,3,0.00949367088607595,58,0.240663900414938,-14,-0.0468227424749164,2,0.00701754385964912,-5,-0.0174216027874564,34,0.120567375886525
"2","Barnet",254,239,241,250,234,209,244,35,0.167464114832536,-15,-0.0590551181102362,2,0.00836820083682008,9,0.037344398340249,-16,-0.064,-25,-0.106837606837607
"3","Barnsley",114,147,141,125,129,107,143,36,0.336448598130841,33,0.289473684210526,-6,-0.0408163265306122,-16,-0.113475177304965,4,0.032,-22,-0.170542635658915
"4","Bath and North East Somerset",82,101,95,118,96,115,157,42,0.365217391304348,19,0.231707317073171,-6,-0.0594059405940594,23,0.242105263157895,-22,-0.186440677966102,19,0.197916666666667
"5","Bedford",93,84,115,110,107,130,112,-18,-0.138461538461538,-9,-0.0967741935483871,31,0.369047619047619,-5,-0.0434782608695652,-3,-0.0272727272727273,23,0.214953271028037
"6","Bexley",209,215,213,247,245,200,219,19,0.095,6,0.0287081339712919,-2,-0.00930232558139535,34,0.15962441314554,-2,-0.00809716599190283,-45,-0.183673469387755
"7","Birmingham",765,836,868,900,899,936,1114,178,0.19017094017094,71,0.0928104575163399,32,0.0382775119617225,32,0.0368663594470046,-1,-0.00111111111111111,37,0.0411568409343715
"8","Blackburn with Darwen",181,200,199,216,224,226,281,55,0.243362831858407,19,0.104972375690608,-1,-0.005,17,0.085427135678392,8,0.037037037037037,2,0.00892857142857143
"9","Blackpool",146,139,170,180,203,178,182,4,0.0224719101123595,-7,-0.0479452054794521,31,0.223021582733813,10,0.0588235294117647,23,0.127777777777778,-25,-0.123152709359606
"10","Bolton",142,178,218,214,260,260,290,30,0.115384615384615,36,0.253521126760563,40,0.224719101123595,-4,-0.018348623853211,46,0.214953271028037,0,0
"11","Bournemouth",127,153,154,155,NA,NA,NA,NA,NA,26,0.204724409448819,1,0.0065359477124183,1,0.00649350649350649,NA,NA,NA,NA
"12","Bournemouth, Christchurch and Poole",NA,NA,NA,NA,306,300,338,38,0.126666666666667,NA,NA,NA,NA,NA,NA,NA,NA,-6,-0.0196078431372549
"13","Bracknell Forest",60,50,53,35,40,54,73,19,0.351851851851852,-10,-0.166666666666667,3,0.06,-18,-0.339622641509434,5,0.142857142857143,14,0.35
"14","Bradford",485,477,487,507,540,527,529,2,0.00379506641366224,-8,-0.0164948453608247,10,0.0209643605870021,20,0.0410677618069815,33,0.0650887573964497,-13,-0.0240740740740741
"15","Brent",249,283,251,267,248,240,269,29,0.120833333333333,34,0.136546184738956,-32,-0.113074204946996,16,0.0637450199203187,-19,-0.0711610486891386,-8,-0.032258064516129
"16","Brighton and Hove",179,174,148,160,151,165,176,11,0.0666666666666667,-5,-0.0279329608938547,-26,-0.149425287356322,12,0.0810810810810811,-9,-0.05625,14,0.0927152317880795
"17","Bristol, City of",306,279,311,333,290,281,388,107,0.380782918149466,-27,-0.0882352941176471,32,0.114695340501792,22,0.0707395498392283,-43,-0.129129129129129,-9,-0.0310344827586207
"18","Bromley",172,248,247,274,332,305,266,-39,-0.127868852459016,76,0.441860465116279,-1,-0.00403225806451613,27,0.109311740890688,58,0.211678832116788,-27,-0.0813253012048193
"19","Buckinghamshire",270,363,327,347,352,382,387,5,0.0130890052356021,93,0.344444444444444,-36,-0.0991735537190083,20,0.0611620795107034,5,0.0144092219020173,30,0.0852272727272727
"20","Bury",140,134,132,120,137,141,152,11,0.0780141843971631,-6,-0.0428571428571429,-2,-0.0149253731343284,-12,-0.0909090909090909,17,0.141666666666667,4,0.0291970802919708
"21","Calderdale",104,123,89,122,95,114,159,45,0.394736842105263,19,0.182692307692308,-34,-0.276422764227642,33,0.370786516853933,-27,-0.221311475409836,19,0.2
"22","Cambridgeshire",258,275,301,282,346,318,418,100,0.314465408805031,17,0.0658914728682171,26,0.0945454545454545,-19,-0.0631229235880399,64,0.226950354609929,-28,-0.0809248554913295
"23","Camden",138,159,129,134,106,123,111,-12,-0.0975609756097561,21,0.152173913043478,-30,-0.188679245283019,5,0.0387596899224806,-28,-0.208955223880597,17,0.160377358490566
"24","Central Bedfordshire",105,124,158,171,201,196,185,-11,-0.0561224489795918,19,0.180952380952381,34,0.274193548387097,13,0.0822784810126582,30,0.175438596491228,-5,-0.0248756218905473
"25","Cheshire East",127,153,139,117,92,129,154,25,0.193798449612403,26,0.204724409448819,-14,-0.0915032679738562,-22,-0.158273381294964,-25,-0.213675213675214,37,0.402173913043478
