"","region_name","region_code","old_la_code","la_name","new_la_code","ncyear","201516","201617","201718","201819","201920","202021","202122","YOY21to22","YOYperc21to22","YOY16to17","YOYperc16to17","YOY17to18","YOYperc17to18","YOY18to19","YOYperc18to19","YOY19to20","YOYperc19to20","YOY20to21","YOYperc20to21"
"1","East Midlands","E12000004",830,"Derbyshire","E10000007","Year 1",8503,8733,8682,8341,8214,8152,8145,-7,-0.000858684985279686,230,0.0270492767258615,-51,-0.00583991755410512,-341,-0.03927666436305,-127,-0.0152259920872797,-62,-0.00754808862916971
"2","East Midlands","E12000004",831,"Derby","E06000015","Year 1",3330,3320,3456,3344,3220,3211,3222,11,0.00342572407349735,-10,-0.003003003003003,136,0.0409638554216867,-112,-0.0324074074074074,-124,-0.0370813397129187,-9,-0.00279503105590062
"3","East Midlands","E12000004",855,"Leicestershire","E10000018","Year 1",7688,7961,7889,7750,7596,7822,7808,-14,-0.00178982357453337,273,0.0355098855359001,-72,-0.00904408993844994,-139,-0.0176194701483078,-154,-0.0198709677419355,226,0.0297525013164824
"4","East Midlands","E12000004",856,"Leicester","E06000016","Year 1",4574,4739,4755,4672,4613,4546,4541,-5,-0.0010998680158381,165,0.0360734586794928,16,0.00337623971301962,-83,-0.0174553101997897,-59,-0.0126284246575342,-67,-0.0145241708215912
"5","East Midlands","E12000004",857,"Rutland","E06000017","Year 1",419,403,406,401,396,398,382,-16,-0.0402010050251256,-16,-0.0381861575178998,3,0.00744416873449132,-5,-0.0123152709359606,-5,-0.0124688279301746,2,0.00505050505050505
"6","East Midlands","E12000004",891,"Nottinghamshire","E10000024","Year 1",9445,9662,9770,9432,9284,9177,9348,171,0.0186335403726708,217,0.0229751191106406,108,0.0111778099772304,-338,-0.0345957011258956,-148,-0.0156912637828668,-107,-0.0115252046531667
"7","East Midlands","E12000004",892,"Nottingham","E06000018","Year 1",3630,3755,3771,3761,3618,3628,3729,101,0.0278390297684675,125,0.034435261707989,16,0.00426098535286285,-10,-0.00265181649429859,-143,-0.0380218027120447,10,0.00276395798783858
"8","East Midlands","E12000004",925,"Lincolnshire","E10000019","Year 1",7989,8124,8082,7736,7895,7731,7787,56,0.00724356486871039,135,0.0168982350732257,-42,-0.0051698670605613,-346,-0.0428111853501609,159,0.0205532574974147,-164,-0.0207726409119696
"9","East Midlands","E12000004",928,"Northamptonshire","E10000021","Year 1",9226,9389,9294,9130,8877,8892,NA,NA,NA,163,0.0176674615217863,-95,-0.0101182234529769,-164,-0.0176457929847213,-253,-0.027710843373494,15,0.00168976005407232
"10","East Midlands","E12000004",940,"North Northamptonshire","E06000061","Year 1",NA,NA,NA,NA,NA,NA,4072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","East Midlands","E12000004",941,"West Northamptonshire","E06000062","Year 1",NA,NA,NA,NA,NA,NA,4859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","East of England","E12000006",821,"Luton","E06000032","Year 1",3245,3403,3293,3217,3209,3113,3219,106,0.0340507548988114,158,0.0486902927580894,-110,-0.0323244196297385,-76,-0.0230792590343152,-8,-0.00248678893378924,-96,-0.0299158616391399
"13","East of England","E12000006",822,"Bedford","E06000055","Year 1",2274,2252,2274,2238,2286,2161,2294,133,0.0615455807496529,-22,-0.00967458223394899,22,0.00976909413854352,-36,-0.0158311345646438,48,0.0214477211796247,-125,-0.0546806649168854
"14","East of England","E12000006",823,"Central Bedfordshire","E06000056","Year 1",3517,3661,3613,3652,3615,3599,3719,120,0.0333425951653237,144,0.0409439863520046,-48,-0.0131111718109806,39,0.0107943537226681,-37,-0.01013143483023,-16,-0.00442600276625173
"15","East of England","E12000006",873,"Cambridgeshire","E10000003","Year 1",7301,7513,7549,7306,7157,7165,7205,40,0.00558269364968597,212,0.0290371182029859,36,0.00479169439637961,-243,-0.0321896939992052,-149,-0.0203941965507802,8,0.0011177867821713
"16","East of England","E12000006",874,"Peterborough","E06000031","Year 1",3060,3035,3139,3102,3015,2948,2949,1,0.00033921302578019,-25,-0.00816993464052288,104,0.0342668863261944,-37,-0.0117871933736859,-87,-0.0280464216634429,-67,-0.0222222222222222
"17","East of England","E12000006",881,"Essex","E10000012","Year 1",16700,16905,17032,16846,16731,16611,16815,204,0.0122810186021311,205,0.0122754491017964,127,0.0075125702454895,-186,-0.0109206200093941,-115,-0.00682654636115398,-120,-0.00717231486462256
"18","East of England","E12000006",882,"Southend-on-Sea","E06000033","Year 1",2190,2177,2154,2106,2122,2087,2140,53,0.0253953042644945,-13,-0.00593607305936073,-23,-0.0105649977032614,-48,-0.0222841225626741,16,0.00759734093067426,-35,-0.0164938737040528
"19","East of England","E12000006",883,"Thurrock","E06000034","Year 1",2365,2486,2545,2429,2446,2497,2559,62,0.0248297957549059,121,0.0511627906976744,59,0.0237329042638777,-116,-0.0455795677799607,17,0.00699876492383697,51,0.0208503679476697
"20","East of England","E12000006",919,"Hertfordshire","E10000015","Year 1",14554,14768,14593,14133,13988,13927,13959,32,0.00229769512457816,214,0.0147038614813797,-175,-0.0118499458288191,-460,-0.0315219625848009,-145,-0.0102596759357532,-61,-0.0043608807549328
"21","East of England","E12000006",926,"Norfolk","E10000020","Year 1",9091,9392,9577,9296,8907,8981,8971,-10,-0.0011134617525888,301,0.033109668903311,185,0.0196976149914821,-281,-0.0293411297901222,-389,-0.0418459552495697,74,0.00830807230268328
"22","East of England","E12000006",935,"Suffolk","E10000029","Year 1",7938,8216,8223,7935,7773,7712,7757,45,0.0058350622406639,278,0.0350214159737969,7,0.000851996105160662,-288,-0.0350237139730026,-162,-0.0204158790170132,-61,-0.0078476778592564
"23","London","E12000007",201,"City of London","E09000001","Year 1",30,30,59,30,29,27,31,4,0.148148148148148,0,0,29,0.966666666666667,-29,-0.491525423728814,-1,-0.0333333333333333,-2,-0.0689655172413793
"24","London","E12000007",202,"Camden","E09000007","Year 1",1646,1713,1546,1508,1417,1408,1430,22,0.015625,67,0.0407047387606318,-167,-0.0974897840046702,-38,-0.0245795601552393,-91,-0.0603448275862069,-9,-0.0063514467184192
"25","London","E12000007",203,"Greenwich","E09000011","Year 1",3614,3586,3558,3609,3432,3469,3384,-85,-0.0245027385413664,-28,-0.00774764803541782,-28,-0.00780814277746793,51,0.0143338954468803,-177,-0.0490440565253533,37,0.0107808857808858
"26","London","E12000007",204,"Hackney","E09000012","Year 1",2803,2778,2738,2612,2512,2539,2498,-41,-0.0161480897991335,-25,-0.00891901534070639,-40,-0.0143988480921526,-126,-0.0460189919649379,-100,-0.0382848392036753,27,0.0107484076433121
"27","London","E12000007",205,"Hammersmith and Fulham","E09000013","Year 1",1475,1420,1402,1339,1312,1271,1280,9,0.00708103855232101,-55,-0.0372881355932203,-18,-0.0126760563380282,-63,-0.0449358059914408,-27,-0.0201643017176998,-41,-0.03125
"28","London","E12000007",206,"Islington","E09000019","Year 1",2057,2067,1924,1894,1843,1832,1793,-39,-0.0212882096069869,10,0.00486144871171609,-143,-0.0691823899371069,-30,-0.0155925155925156,-51,-0.0269271383315734,-11,-0.00596852957135106
"29","London","E12000007",207,"Kensington and Chelsea","E09000020","Year 1",1013,970,982,966,944,906,968,62,0.0684326710816777,-43,-0.0424481737413623,12,0.0123711340206186,-16,-0.0162932790224033,-22,-0.0227743271221532,-38,-0.0402542372881356
"30","London","E12000007",208,"Lambeth","E09000022","Year 1",3031,2884,2934,2959,2891,2795,2635,-160,-0.0572450805008945,-147,-0.0484988452655889,50,0.0173370319001387,25,0.00852079072937969,-68,-0.0229807367353836,-96,-0.0332065029401591
"31","London","E12000007",209,"Lewisham","E09000023","Year 1",3508,3549,3407,3385,3299,3148,3063,-85,-0.0270012706480305,41,0.0116875712656784,-142,-0.0400112707805015,-22,-0.00645729380686821,-86,-0.0254062038404727,-151,-0.0457714458926948
"32","London","E12000007",210,"Southwark","E09000028","Year 1",3407,3476,3435,3260,3163,3071,2900,-171,-0.0556821882123087,69,0.0202524214851776,-41,-0.011795166858458,-175,-0.0509461426491994,-97,-0.0297546012269939,-92,-0.0290863104647487
"33","London","E12000007",211,"Tower Hamlets","E09000030","Year 1",3391,3380,3470,3289,3282,3170,3371,201,0.0634069400630915,-11,-0.00324388086110292,90,0.0266272189349112,-181,-0.0521613832853026,-7,-0.00212830647613256,-112,-0.0341255332114564
"34","London","E12000007",212,"Wandsworth","E09000032","Year 1",2932,2841,2921,2834,2728,2672,2613,-59,-0.0220808383233533,-91,-0.0310368349249659,80,0.0281590989088349,-87,-0.0297843204382061,-106,-0.0374029640084686,-56,-0.0205278592375367
